text,bin_label
"most homeless people around almost the whole world have live in major cities often for everyday work,... but all but too often these crowded places leave people here feeling trapped, unable to live a life on just their own own terms and and disconnected entirely from even their home communities. reduced traffic ; lack of transport for alternatives ; legacy infrastructure ; or inadequate stadia locations and facilities ; restricted schools education choices ; poor early access to health care ; unaffordable housing and time - limited poor families, are often all cited as unattractive contributions to life conditions in big cities.",True
"the letter is ended with a urgent call... for and the bishops to create specifically a church hierarchy which solely listens to "" the hungry, are the imprisoned, especially the migrant workers and the abused "".",True
it also is often a painful and obviously frustrating experience for your visa permission to be refused.... this condition is even more worrying finding in immigrant visa cases... where the respective applicant's s plans neither of permanently settling in with their new family member in the u. s. s or is the final dv lottery winner'with s family plans but of making a solid new american life in the u. s. still takes a hit.,True
"now, we want you to further focus on infrastructure. when again we once came to bringing power down in uttar facing pradesh, in the late last nine months alone, which we have only managed to provide quality houses to us poor in almost both rural and urban areas, electrification work is presently being undertaken in a great big engineering way, more and 25 lakh poor voting families have been immediately given new free electricity connections which has reduced our supply line loss.",True
""" clear evidence born of outstanding but miraculous miraculous occurrences began thus to arise. once the many lame individuals began not to walk, hopeless cancer research patients were lifted from despair...",True
"and a bbc source told the morning mirror : "" professor madonna has a deep affiliation with malawi and has always... wanted to quietly do almost what she can to to help those in critical need.",True
"talking publicly to the israeli media... after swiftly reaching islamabad while on a three - day visit, mollekleiv appreciated how the exemplary worldwide cooperation done between the nrc and the the pakistan forces red crescent rescue society ( prcs ) and hoped that it will further integration strengthen to properly provide maximum relief to all people not in critical need.",True
"i think the international living wage will help states share credit around the spoils of globalisation or a little more more evenly. that cutting of the mean flow numbers of immigrants today will not entirely solve the problem ( with more effective full work employment we need on them ) but paying the poor / the low skilled people a decent wage may help help to even reduce all the psychological resentment they will feel having for so many things ( from elites, government, from eu, foreigners, immigrants ).",True
"yet needless to say, whatever is the impending level zero of one's disability, they face tenacious moral stigma for and significant social exclusion... in addition again to their activities persistent causing physical illnesses or mental challenges. for if life is particularly hard for differently - abled adults, we can therefore only vaguely imagine what challenges it could never be like for those children. their caring parents become tired, frustrated, and hopeless. most survivors of them lack financial and other resources to cope well with the situation. ultimately it is become almost physically inconceivable how burdened with and increasingly helpless they feel, and therefore resort now to only a wholly resigned parental acceptance of fate.",True
"apparently in dr. gerald ablow's closed eyes, the people who allegedly undergo the transgendered assessment process are broken individuals, or in need of repair. there are therefore no transgendered people - - only those people who are confused about and also in need of of treatment attempts to assist alleviate in their health condition.",True
"princess rosi then captures the migrants'seemingly overwhelming emotional relief to be on our dry land, the shock that somehow gives our way to mourning for everything their recent dead, died and and the crushing boredom they constantly break up with rough - and - slow tumble football games.",True
"what our nations need to do is begin to rebuild the spiritual walls all that were broken down, as in the hebrew book of nehemiah. meet any other nation that gives shows and mercy acts and expresses compassion and to refugees assist and helps undocumented military personnel will receive great blessings from to the one creator who is the one who who gives great power to god get wealth. < h > avoid paying taxes",True
"the european union together with the its member nation states and is currently the world's largest leading donor of humanitarian aid. relief technical assistance project is an expression of sovereign european human solidarity oriented towards people in basic need around the entire world. it aims to save lives, enhance prevent victims and alleviate human forced suffering, and foster safeguard back the life integrity values and human dignity of populations affected by both natural financial disasters and related man - forced made crises. for more information, please first visit echo's website.",True
